stock_id,name,eps_Y,eps_ttm,per_Y,per_ttm,eps_Y_is_prev,eps_ttm_is_prev,rev,rev_mom,rev_qoq,rev_yoy,gross_margin,gross_margin_qoq,gross_margin_yoy_diff,gross_margin_is_prev,operating_margin,operating_margin_qoq,operating_margin_yoy_diff,operating_margin_is_prev,net_margin,net_margin_qoq,net_margin_yoy_diff,net_margin_is_prev,per_latest,per_90d_high,per_90d_low,per_latest_is_prev,pbr_latest,pbr_90d_high,pbr_90d_low,pbr_latest_is_prev,static_updated_at,static_status,static_reason,eps_status,eps_reason,revenue_status,revenue_reason,profit_status,profit_reason,valuation_status,valuation_reason,finmind_token_status,finmind_token_source,finmind_token_masked,finmind_user_count,finmind_api_request_limit,finmind_remain,finmind_usage_checked_at
2313,華通,5.51,5.67,0.18,0.18,False,False,63.15,-9.04,-14.7,-2.86,17.98,-0.72,0.81,False,9.92,-1.05,1.11,False,7.69,-3.1,-0.16,False,41.53,51.91,18.62,False,5.99,7.12,2.5,False,2026-05-16 17:51:58,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,904,6000,5096,2026-05-17 03:10:05
2449,京元電子,9.01,7.37,0.11,0.14,False,False,37.43,4.03,11.08,34.56,39.74,2.08,6.24,False,27.2,-1.01,6.39,False,22.43,-0.13,-36.79,False,40.64,41.38,24.8,False,6.73,8.58,5.69,False,2026-05-16 17:52:01,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,904,6000,5096,2026-05-17 03:10:05
3163,波若威,6.22,8.64,0.16,0.12,False,False,1.99,-19.53,-15.15,16.5,18.86,0.6,1.06,False,5.32,0.29,0.67,False,37.15,-0.42,27.76,False,109.95,208.2,66.34,False,23.97,33.94,9.76,False,2026-05-16 17:52:04,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,904,6000,5096,2026-05-17 03:10:05
3324,雙鴻,28.2,35.15,0.04,0.03,False,False,28.42,-14.62,-6.56,40.9,29.66,3.29,2.3,False,17.77,3.7,5.01,False,14.8,1.97,2.81,False,28.72,50.35,28.72,False,6.9,10.78,6.9,False,2026-05-16 17:52:06,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,904,6000,5096,2026-05-17 03:10:05
3645,達邁,1.54,1.9,0.65,0.53,False,False,2.37,3.56,36.71,16.43,35.12,3.79,12.86,False,18.83,6.65,10.97,False,15.52,1.52,8.43,False,55.79,74.84,44.9,False,4.27,4.75,2.21,False,2026-05-16 05:48:42,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,904,6000,5096,2026-05-17 03:10:05
3665,貿聯-KY,46.62,49.79,0.02,0.02,False,False,73.83,5.26,-0.98,18.54,28.77,-3.16,-1.61,False,14.9,-3.47,0.26,False,10.9,-2.95,0.9,False,42.28,63.66,31.28,False,8.76,12.29,5.82,False,2026-05-16 17:52:09,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,904,6000,5096,2026-05-17 03:10:05
5536,聖暉*,28.42,36.0,0.04,0.03,False,False,40.88,-21.27,11.51,15.17,25.38,4.95,7.42,False,19.82,5.86,7.86,False,15.71,4.11,5.47,False,28.47,35.54,23.45,False,9.71,9.71,6.17,False,2026-05-16 05:48:45,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,904,6000,5096,2026-05-17 03:10:05
6187,萬潤,15.46,15.26,0.06,0.07,False,False,6.13,15.5,56.95,26.14,51.78,-9.25,-8.66,False,23.22,-2.08,-10.52,False,22.67,-15.02,-4.82,False,74.55,89.91,21.02,False,15.94,18.33,4.77,False,2026-05-16 17:52:12,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,904,6000,5096,2026-05-17 03:10:05
6510,精測,30.41,34.09,,,False,False,5.23,7.33,15.21,30.22,56.77,0.77,2.99,False,29.26,2.55,7.56,False,24.97,1.29,6.06,False,109.56,138.11,68.94,False,12.49,15.7,8.41,False,2026-05-17 03:10:05,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,904,6000,5096,2026-05-17 03:10:07
6691,洋基工程,25.51,27.0,0.04,0.04,False,False,28.59,1.81,20.79,66.7,18.39,-1.08,-2.8,False,15.74,-1.4,-2.52,False,12.43,-1.61,-2.7,False,23.27,30.82,22.42,False,12.72,12.9,8.82,False,2026-05-16 05:48:48,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,904,6000,5096,2026-05-17 03:10:05
6805,富世達,31.0,39.18,0.03,0.03,False,False,13.53,-15.44,-3.65,59.05,32.31,3.26,10.17,False,26.78,4.92,10.54,False,21.92,3.02,6.09,False,44.28,71.57,44.28,False,16.02,21.11,14.18,False,2026-05-16 17:52:14,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,904,6000,5096,2026-05-17 03:10:05
